template,aggregator,alpha,contradiction_th,rule_penalty,tuned_th,cv_acc,cv_f1,cv_kappa,cv_balanced_acc,full_acc,full_f1,full_kappa,full_balanced_acc
about,min,0.5,0.6,0.3,0.67,0.7416666666666666,0.724912734324499,0.4841590211059238,0.745436507936508,0.7435897435897436,0.7297297297297296,0.4871794871794872,0.7461794019933554
about,min,0.5,0.7,0.3,0.67,0.7416666666666666,0.724912734324499,0.4841590211059238,0.745436507936508,0.7435897435897436,0.7297297297297296,0.4871794871794872,0.7461794019933554
about,min,0.5,0.8,0.3,0.67,0.7416666666666666,0.724912734324499,0.4841590211059238,0.745436507936508,0.7435897435897436,0.7297297297297296,0.4871794871794872,0.7461794019933554
about,min,0.5,0.9,0.3,0.67,0.7416666666666666,0.724912734324499,0.4841590211059238,0.745436507936508,0.7435897435897436,0.7297297297297296,0.4871794871794872,0.7461794019933554
about,min,0.5,1.01,0.3,0.67,0.7416666666666666,0.724912734324499,0.4841590211059238,0.745436507936508,0.7435897435897436,0.7297297297297296,0.4871794871794872,0.7461794019933554
about,mean,0.5,0.6,0.3,0.7100000000000001,0.7291666666666667,0.7304621848739495,0.46511812748654846,0.7392857142857142,0.7307692307692307,0.7341772151898734,0.46852693056456834,0.7398671096345515
about,mean,0.5,0.7,0.3,0.7100000000000001,0.7291666666666667,0.7304621848739495,0.46511812748654846,0.7392857142857142,0.7307692307692307,0.7341772151898734,0.46852693056456834,0.7398671096345515
about,mean,0.5,0.8,0.3,0.7100000000000001,0.7291666666666667,0.7304621848739495,0.46511812748654846,0.7392857142857142,0.7307692307692307,0.7341772151898734,0.46852693056456834,0.7398671096345515
about,mean,0.5,0.9,0.3,0.7100000000000001,0.7291666666666667,0.7304621848739495,0.46511812748654846,0.7392857142857142,0.7307692307692307,0.7341772151898734,0.46852693056456834,0.7398671096345515
about,mean,0.5,1.01,0.3,0.7100000000000001,0.7291666666666667,0.7304621848739495,0.46511812748654846,0.7392857142857142,0.7307692307692307,0.7341772151898734,0.46852693056456834,0.7398671096345515
about,geometric,0.5,0.6,0.3,0.6900000000000001,0.7291666666666667,0.7304621848739495,0.46511812748654846,0.7392857142857142,0.7307692307692307,0.7341772151898734,0.46852693056456834,0.7398671096345515
about,geometric,0.5,0.7,0.3,0.6900000000000001,0.7291666666666667,0.7304621848739495,0.46511812748654846,0.7392857142857142,0.7307692307692307,0.7341772151898734,0.46852693056456834,0.7398671096345515
about,geometric,0.5,0.8,0.3,0.6900000000000001,0.7291666666666667,0.7304621848739495,0.46511812748654846,0.7392857142857142,0.7307692307692307,0.7341772151898734,0.46852693056456834,0.7398671096345515
about,geometric,0.5,0.9,0.3,0.6900000000000001,0.7291666666666667,0.7304621848739495,0.46511812748654846,0.7392857142857142,0.7307692307692307,0.7341772151898734,0.46852693056456834,0.7398671096345515
